"Time","Load (kW)","Pressure_kpa","Cloud Cover (%)","Humidity (%)","Temperature (C)","Wind Direction (deg)","Wind Speed (kmh)"
2021-01-23 08:00:00,1056854.93213707,1014.075,30,64.8333333333333,3.03188621745121,55.5,1.56
2021-01-23 09:00:00,1107468.93213707,1014.65,27.25,56.3333333333333,9.85688621745121,66.75,10.415
2021-01-23 10:00:00,1152305.43213707,1014.975,22.25,53.1666666666667,14.9218862174512,54.5,13.26
2021-01-23 11:00:00,1160229.93213707,1014.725,13.75,53.1666666666667,18.9918862174512,85.75,14.9075
2021-01-23 12:00:00,1158697.43213707,1013.475,2.5,53.6666666666667,19.4718862174512,39.75,12.275
2021-01-23 13:00:00,1155110.93213707,1012.425,0,54.6666666666667,20.8168862174512,256,12.675
2021-01-23 14:00:00,1158042.93213707,1011.325,0,50.8333333333333,24.3718862174512,262.75,12.91
2021-01-23 15:00:00,1150792.43213707,1010.75,0.75,52.5,23.8968862174512,339.75,15.73
2021-01-23 16:00:00,1146033.93213707,1010.6,0,53,23.8168862174512,327,16.6875
2021-01-23 17:00:00,1130120.93213707,1010.625,0,60.6666666666667,19.7518862174512,328,16.365
2021-01-23 18:00:00,1114842.93213707,1011.125,0,62.1666666666667,17.0818862174512,336.5,16.83
2021-01-23 19:00:00,1106064.43213707,1011.625,0,60,15.5918862174512,346.5,17.49
2021-01-23 20:00:00,1086320.43213707,1012.2,0.75,60.3333333333333,15.4468862174512,267,14.5625
2021-01-23 21:00:00,1064037.93213707,1012.575,4.5,60.3333333333333,15.0618862174512,354.25,15.505
2021-01-23 22:00:00,1040024.93213707,1012.6,4,60.5,13.3568862174512,14,13.645
2021-01-23 23:00:00,1015290.43213707,1012.675,0.5,59.5,12.7718862174512,33.75,11.7825
2021-01-24 00:00:00,1003438.43213707,1012.55,2.75,59.1666666666667,10.9018862174512,50.5,7.81
2021-01-24 01:00:00,989788.93213707,1011.95,9.5,58,10.4268862174512,49.75,13.4925
2021-01-24 02:00:00,977637.43213707,1011.45,12.75,58.1666666666667,10.0768862174512,61,11.3525
2021-01-24 03:00:00,968907.43213707,1011.175,10.25,57.3333333333333,9.44688621745121,47,14.0675
2021-01-24 04:00:00,965731.43213707,1011.375,9.75,58.5,7.72188621745121,43,11.0125
2021-01-24 05:00:00,967659.93213707,1011.9,12.5,58.6666666666667,6.20188621745121,46.5,14.2775
2021-01-24 06:00:00,968280.93213707,1012.7,10.5,58.6666666666667,6.19688621745121,54,12.3
2021-01-24 07:00:00,973148.43213707,1013.5,6.5,57.8333333333333,6.49688621745121,62,9.6425
